2023-05-22 22:05:257 INFO  OpenAccountPage :31 - Select [[ChromeDriver: chrome on WINDOWS (8823d103c1707aee793b77fc61932528)] -> xpath: //select[@id='currency']]
2023-05-22 22:05:375 INFO  OpenAccountPage :35 - Click on [[ChromeDriver: chrome on WINDOWS (8823d103c1707aee793b77fc61932528)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:485 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 22:05:596 INFO  BankManagerLoginPage :39 - Click on [[ChromeDriver: chrome on WINDOWS (2e1d696d857737f74db9462ab2ce4c4d)] -> xpath: //button[normalize-space()='Customer Login']]
2023-05-22 22:05:216 INFO  CustomerLoginPage :27 - Select [[ChromeDriver: chrome on WINDOWS (2e1d696d857737f74db9462ab2ce4c4d)] -> xpath: //select[@id='userSelect']]
2023-05-22 22:05:339 INFO  CustomerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (2e1d696d857737f74db9462ab2ce4c4d)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:346 INFO  CustomersPage :35 - Logout button displayed
2023-05-22 22:05:695 INFO  CustomersPage :45 - Click on [[ChromeDriver: chrome on WINDOWS (2e1d696d857737f74db9462ab2ce4c4d)] -> xpath: //button[@class='btn logout']]
2023-05-22 22:05:726 INFO  CustomerLoginPage :34 - Get text [[ChromeDriver: chrome on WINDOWS (2e1d696d857737f74db9462ab2ce4c4d)] -> xpath: //label[normalize-space()='Your Name :']]
2023-05-22 22:05:156 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 22:05:324 INFO  BankManagerLoginPage :39 - Click on [[ChromeDriver: chrome on WINDOWS (0aa1cc5178445f740b44ad82cc6ad083)] -> xpath: //button[normalize-space()='Customer Login']]
2023-05-22 22:05:868 INFO  CustomerLoginPage :27 - Select [[ChromeDriver: chrome on WINDOWS (0aa1cc5178445f740b44ad82cc6ad083)] -> xpath: //select[@id='userSelect']]
2023-05-22 22:05:976 INFO  CustomerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (0aa1cc5178445f740b44ad82cc6ad083)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:265 INFO  CustomersPage :28 - Click on [[ChromeDriver: chrome on WINDOWS (0aa1cc5178445f740b44ad82cc6ad083)] -> xpath: //button[normalize-space()='Deposit']]
2023-05-22 22:05:595 INFO  AccountPage :30 - Send text [[ChromeDriver: chrome on WINDOWS (0aa1cc5178445f740b44ad82cc6ad083)] -> xpath: //input[@placeholder='amount']]
2023-05-22 22:05:717 INFO  AccountPage :38 - Click on [[ChromeDriver: chrome on WINDOWS (0aa1cc5178445f740b44ad82cc6ad083)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:753 INFO  AccountPage :33 - Get text [[ChromeDriver: chrome on WINDOWS (0aa1cc5178445f740b44ad82cc6ad083)] -> xpath: //span[@class='error ng-binding']]
2023-05-22 22:05:967 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 22:05:438 INFO  BankManagerLoginPage :39 - Click on [[ChromeDriver: chrome on WINDOWS (6c36d6e8ca345d63ad6b0607dcd6a586)] -> xpath: //button[normalize-space()='Customer Login']]
2023-05-22 22:05:835 INFO  CustomerLoginPage :27 - Select [[ChromeDriver: chrome on WINDOWS (6c36d6e8ca345d63ad6b0607dcd6a586)] -> xpath: //select[@id='userSelect']]
2023-05-22 22:05:164 INFO  CustomerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (6c36d6e8ca345d63ad6b0607dcd6a586)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:460 INFO  CustomersPage :32 - Click on [[ChromeDriver: chrome on WINDOWS (6c36d6e8ca345d63ad6b0607dcd6a586)] -> xpath: //button[normalize-space()='Withdrawl']]
2023-05-22 22:05:799 INFO  AccountPage :30 - Send text [[ChromeDriver: chrome on WINDOWS (6c36d6e8ca345d63ad6b0607dcd6a586)] -> xpath: //input[@placeholder='amount']]
2023-05-22 22:05:902 INFO  AccountPage :38 - Click on [[ChromeDriver: chrome on WINDOWS (6c36d6e8ca345d63ad6b0607dcd6a586)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:979 INFO  AccountPage :33 - Get text [[ChromeDriver: chrome on WINDOWS (6c36d6e8ca345d63ad6b0607dcd6a586)] -> xpath: //span[@class='error ng-binding']]
2023-05-22 22:05:378 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 22:05:61 INFO  HomePage :21 - Click on [[ChromeDriver: chrome on WINDOWS (c54fbe1933788b0dc8e93830afdb35e8)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2023-05-22 22:05:430 INFO  BankManagerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (c54fbe1933788b0dc8e93830afdb35e8)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[1]/button[1]]
2023-05-22 22:05:851 INFO  AddCustomerPage :32 - Send text [[ChromeDriver: chrome on WINDOWS (c54fbe1933788b0dc8e93830afdb35e8)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2023-05-22 22:05:80 INFO  AddCustomerPage :36 - Send text [[ChromeDriver: chrome on WINDOWS (c54fbe1933788b0dc8e93830afdb35e8)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[2]/input[1]]
2023-05-22 22:05:256 INFO  AddCustomerPage :40 - Send text E13DS
2023-05-22 22:05:419 INFO  AddCustomerPage :44 - Click on [[ChromeDriver: chrome on WINDOWS (c54fbe1933788b0dc8e93830afdb35e8)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:461 INFO  AddCustomerPage :48 - Accept alert
